id,Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID
329,2011-12-23,Credit card,,Closing/Cancelling account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20850,,,Web,12/27/2011,Closed without relief,Yes,No,7887
542,2011-12-30,Credit card,,Closing/Cancelling account,,,,BARCLAYS BANK DELAWARE,WA,98816,,,Web,1/3/2012,Closed with relief,Yes,No,8908
1103,2011-12-06,Credit card,,Closing/Cancelling account,,,,JPMORGAN CHASE & CO.,TX,78220,,,Referral,12/6/2011,Closed without relief,Yes,No,3390
1147,2011-12-31,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,MO,65685,,,Web,1/3/2012,Closed without relief,Yes,No,9001
1915,2011-12-15,Credit card,,APR or interest rate,,,,BARCLAYS BANK DELAWARE,PA,19123,,,Web,12/16/2011,Closed without relief,Yes,No,6106
2317,2011-12-17,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91722,,,Web,12/19/2011,Closed without relief,Yes,Yes,6464
2653,2011-12-20,Credit card,,Other,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33703,,,Postal mail,12/30/2011,Closed without relief,Yes,Yes,85730
3011,2011-12-20,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CA,92311,,,Email,5/18/2012,Closed without relief,Yes,Yes,7071
3872,2011-12-28,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CT,6018,,,Referral,12/29/2011,Closed without relief,Yes,No,8501
4084,2011-12-05,Credit card,,Credit card protection / Debt protection,,,,WELLS FARGO & COMPANY,GA,30542,,,Referral,12/6/2011,Closed with relief,Yes,No,3045
4553,2011-12-05,Credit card,,Billing disputes,,,,CAPITAL ONE FINANCIAL CORPORATION,NY,11720,,,Referral,12/5/2011,Closed with relief,Yes,No,2823
4664,2011-12-30,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,MD,21117,,,Phone,12/30/2011,Closed without relief,Yes,No,2663
4941,2011-12-17,Mortgage,Home equity loan or line of credit,Application  originator  mortgage broker,,,,PNC Bank N.A.,MI,49777,,,Web,12/21/2011,Closed without relief,Yes,Yes,6456
5083,2011-12-08,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,"CITIBANK, N.A.",MN,55424,,,Web,12/12/2011,Closed without relief,Yes,No,4028
5348,2011-12-07,Credit card,,Collection practices,,,,CAPITAL ONE FINANCIAL CORPORATION,MD,21054,,,Referral,12/7/2011,Closed without relief,Yes,No,3491
5863,2011-12-06,Credit card,,Late fee,,,,WELLS FARGO & COMPANY,NY,12306,,,Referral,12/5/2011,Closed with relief,Yes,No,3158
6249,2011-12-08,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,FL,34209,Older American,,Web,12/12/2011,Closed without relief,Yes,No,4156
6338,2011-12-01,Credit card,,Credit reporting,,,,WELLS FARGO & COMPANY,CO,80014,,,Referral,12/1/2011,Closed with relief,Yes,No,2214
7015,2011-12-07,Credit card,,Rewards,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60010,,,Postal mail,12/12/2011,Closed with relief,Yes,No,3723
7432,2011-12-01,Credit card,,Billing statement,,,,"CITIBANK, N.A.",CA,92629,,,Web,12/5/2011,Closed without relief,No,No,2400
7602,2011-12-20,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91384,,,Web,12/21/2011,Closed without relief,Yes,No,7145
7720,2011-12-08,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,WELLS FARGO & COMPANY,ID,83642,,,Web,12/12/2011,Closed without relief,Yes,Yes,4143
8070,2011-12-14,Credit card,,Late fee,,,,"CITIBANK, N.A.",MA,2120,,,Web,12/20/2011,Closed with relief,Yes,No,5546
8325,2011-12-13,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,CA,93704,,,Web,12/15/2011,Closed without relief,Yes,Yes,5180
8790,2011-12-21,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,RI,2915,,,Referral,12/21/2011,Closed without relief,Yes,No,7392
9629,2011-12-23,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,IL,60030,,,Web,12/27/2011,Closed without relief,Yes,Yes,7767
9829,2011-12-05,Credit card,,Closing/Cancelling account,,,,BARCLAYS BANK DELAWARE,TX,77521,,,Web,12/9/2011,Closed without relief,Yes,No,3082
